Item Name,Brand,Color,Location Found,Date Found,Lost Date,Item Category,Reported Lost Duration,Owner Information,Finder Information,Item Value,Condition When Found,Security Camera Coverage,Location Traffic,Weather Conditions,Event Occurrence,Found
Book,-,LightYellow,Library,28-12-2023,12-12-2023,Books,25-12-2023,First Time Reporter,Information Desk,Low,Good,Covered,High Traffic,Cloudy,Normal Day,Yes
Wallet,-,DarkSlateGray,Cafeteria,23-09-2024,24-08-2024,Electronics,17-09-2024,First Time Reporter,Housekeeping,High,Good,Covered,High Traffic,Rainy,Normal Day,No
Book,Johnson-Singh,SteelBlue,Lecture Hall 102,31-07-2023,05-07-2023,Clothing,08-07-2023,First Time Reporter,Security,Medium,Good,Covered,Moderate Traffic,Cloudy,During Event,No
Coffee Mug,-,MediumBlue,Student Center,10-09-2024,30-08-2024,Personal Accessories,05-09-2024,Repeat Reporter,Information Desk,Low,Damaged,Covered,Moderate Traffic,Sunny,During Event,Yes
Water Bottle,-,LightGray,Gym Locker Room,09-03-2024,22-02-2024,Sporting Goods,05-03-2024,Repeat Reporter,None,High,Good,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
ID Card,-,DarkOliveGreen,Bus Stop,30-10-2024,14-10-2024,Personal Accessories,25-10-2024,First Time Reporter,Information Desk,Medium,Damaged,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Headphones,-,SeaShell,Classroom 204,31-10-2024,20-10-2024,Electronics,27-10-2024,First Time Reporter,Information Desk,Medium,Excellent,Covered,High Traffic,Snowy,Normal Day,Yes
Scarf,"Marsh, Hudson and Davenport",RosyBrown,Science Building,20-08-2023,24-07-2023,Electronics,04-08-2023,Repeat Reporter,Information Desk,Low,Good,Not Covered,Low Traffic,Rainy,During Event,No
Necklace,"Medina, Gentry and Barajas",SlateBlue,Quad,17-01-2024,02-01-2024,Clothing,09-01-2024,Repeat Reporter,Security,Low,Good,Covered,Low Traffic,Rainy,During Event,Yes
Phone Charger,-,DarkCyan,Dormitory Lounge,14-09-2023,18-08-2023,Electronics,03-09-2023,First Time Reporter,Housekeeping,High,Excellent,Not Covered,Low Traffic,Snowy,During Event,No
Watch,-,Snow,Outdoor Amphitheater,16-01-2024,31-12-2023,Electronics,15-01-2024,Repeat Reporter,Security,High,Good,Not Covered,High Traffic,Cloudy,During Event,Yes
